id,movie_title,overview,director,actor_1,actor_2,actor_3,genres,popularity,year,vote_average,vote_count,describe
418655.0,anjaane,"Laxmi finds an abandoned baby at a temple and decides to keep him. When her husband, Shankar, returns from jail, they name the child Ramu. While Laxmi wants him to go to school, study and become someone important, Shankar wants him to gamble, partner him in bootlegging and smuggling. Ramu is unable to fit in school and decides to work with his dad. Thus Ramu grows up accepting crime as his career. Then a young woman named Mala enters his life, and both fall in love with each other. When Mala finds out about Ramu's career, she makes him promise that he will go straight. He does go straight, gets a job, and when he is laid off he takes to helping Dhondu catch fish. Then Ramu's world gets turned upside when Inspector Hemant, while apprehending Shankar, guns down Laxmi. An enraged Ramu decides that he must kill Hemant at any cost. Watch what impact this will have on Hemant's mom, his dad, and Mala herself as she watches Ramu descent into the very hell that she had tried to redeem him from.",Ravi Rai,Raveena Tandon,Vivek Mushran,unknown,Drama,0.6,2000,10.0,1.0,Raveena Tandon Vivek Mushran unknown Ravi Rai Drama 0.6
413278.0,apradhi kaun,"A wealthy man, suspected of murder, is killed before he can be arrested. Everyone in his household is under suspicion. A private investigator looks into the case and finds himself falling in love with one of the suspects.",Mohan Bhakri,Ishrat Ali,Shagufta Ali,unknown,Thriller Mystery Drama,0.6,2000,8.0,1.0,Ishrat Ali Shagufta Ali unknown Mohan Bhakri Thriller Mystery Drama 0.6
302309.0,baaghi,"Growing up in Mumbai, Surya is in awe of a powerful local gangster and helps out his gang. Soon, he enters into a life of crime where there is no turning back.",Rajesh Kumar Singh,Sanjay Dutt,Manisha Koirala,unknown,Romance Crime,0.84,2000,4.5,2.0,Sanjay Dutt Manisha Koirala unknown Rajesh Kumar Singh Romance Crime 0.84
11854.0,kuch kuch hota hai,"Anjali is left heartbroken when her best friend and secret crush, Rahul, falls in love with Tina. Years later, Tina's young daughter tries to fulfil her mother's last wish of uniting Rahul and Anjali.",Karan Johar,Shahrukh Khan,Kajol,Rani Mukerji,Romance Drama,13.007,2000,7.7,309.0,Shahrukh Khan Kajol Rani Mukerji Karan Johar Romance Drama 13.007
271484.0,beti no.1,"This warmhearted comedy takes place in a household completely dominated by Durga Bhatnagar, an imposing matriarch who's desperate for a grandson and heir.",Rama Rao Tatineni,Govinda,Rambha,unknown,Comedy Drama Family Romance,0.711,2000,3.5,4.0,Govinda Rambha unknown Rama Rao Tatineni Comedy Drama Family Romance 0.711
401765.0,bhai thakur,"Gajendra Singh lives a wealthy lifestyle in a village in India. He has never attended school and as a result does not know how to read or write in Hindi nor English. His marriage is arranged with equally wealthy Janki, the sister of Thakur Diwan and Ranjit Singh. On Hanuman Jayanti they get married but Janki is not happy and decides to leave her husband. Gajendra searches for her but when he hears that she is dead, decides to seal the Hanuman Mandir doors and remain single.","Willy, Raja",Dharmendra,Shakti Kapoor,Upasna Singh,Drama,0.6,2000,,,"Dharmendra Shakti Kapoor Upasna Singh Willy, Raja Drama 0.6"
232496.0,bichhoo,"Jeeva is a small-time criminal who treasures his solitude, but perky girl-next-door Rani works hard to befriend her sullen neighbor. He rebuffs all her advances -- until a gang of criminals kills Rani's family. In a gross miscarriage of justice, the criminals are set free. Jeeva's sympathy for Rani quickly turns into feelings of love, and to prove his affection, he trains Rani as a weapons expert so she can avenge her murdered family.",Guddu Dhanoa,Bobby Deol,Rani Mukerji,Malaika Arora,Action Crime Thriller,2.031,2000,4.8,10.0,Bobby Deol Rani Mukerji Malaika Arora Guddu Dhanoa Action Crime Thriller 2.031
137164.0,bulandi,A noble family presides over a small town in India.,Rama Rao Tatineni,Rajinikanth,Rekha,Anil Kapoor,Drama,2.036,2000,7.0,5.0,Rajinikanth Rekha Anil Kapoor Rama Rao Tatineni Drama 2.036
161221.0,chal mere bhai,"The wealthy Oberoi family consists of dad, Balraj, his mother, and two sons, namely Vicky and Prem. Vicky is in love with a beautiful young woman...",David Dhawan,Sanjay Dutt,Salman Khan,Karisma Kapoor,Romance Comedy,2.995,2000,4.8,19.0,Sanjay Dutt Salman Khan Karisma Kapoor David Dhawan Romance Comedy 2.995
491916.0,champion,"The film CHAMPION is a tale about a man who has a quest, a dream to be the best of the best. The film centres on four main characters, namely Rajveer Singh (Sunny Deol), a simpleton from a village in Punjab, whose sole dream in life is to become a super-cop and wipe off all crime. After, training, he gets his first posting at Mumbai for a special assignment. Bubbling with enthusiasm, an arrival, he is shocked to find that his job is to protect a nine-year-old boy, Abbas Khan (Abhishek Sharma). A bodyguard, after all the rigorous training to eliminate hardcore criminals! Abbas is the sole heir to millions of riches left to him by his parents, who have expired in a drastic plane crash.",Padam Kumar,Sunny Deol,Manisha Koirala,unknown,Action Comedy Crime Drama,0.74,2000,6.7,3.0,Sunny Deol Manisha Koirala unknown Padam Kumar Action Comedy Crime Drama 0.74
